anz_pflichtige	steuerperiode	bemessungsjahre	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
0	1967.5	1965.5	"SH"			2310	33269.6	.4197223				8.350673	8.851322	9.327443	10.27781	11.4207	12.68999	14.31408	15.40099	16.7028	22.10731	31.96365	97.12214	14.40242
0	1969.5	1967.5	"SH"			3063	47544.2	.4139614				8.785942	9.291427	9.682761	10.64945	11.63878	13.10835	15.25103	16.37935	17.76745	23.63015	34.88202	104.7849	15.5221
0	1971.5	1969.5	"SH"			2653	54876	.3963778				11.61082	12.50122	13.30205	14.66722	16.5882	18.61431	21.07189	22.52965	24.53368	32.82327	44.66212	117.804	20.68451
0	1959.5	1957.5	"SO"			1752	20207	.4386817				6.385343	6.791269	7.196053	8.055867	9.01963	10.0341	11.43468	12.46343	13.80573	18.95566	26.7504		11.53368
0	1961.5	1959.5	"SO"			1688	13529	.5836253							6.191298	7.140759	8.115138	9.27699	10.06261	11.10161	15.23861	22.30977	50.56002	8.014811
0	1963.5	1961.5	"SO"			2495	24237	.56631							7.243023	8.209372	9.253711	10.72084	11.83207	13.10825	18.10167	26.90263	75.05554	9.714229
0	1965.5	1963.5	"SO"			3280	37003	.5473951							8.518909	9.540006	10.85042	12.45399	13.59282	15	20.75135	29.53382	80.96373	11.2814
2	1967.5	1965.5	"SO"			4529	70365.7	.3164371	7.052189	7.887302	8.361784	9.252649	9.651217	10.13757	10.8737	11.77826	13.00564	14.43839	15.41773	16.5792	20.80584	27.28097	73.23567	15.5367
2	1969.5	1967.5	"SO"			5779	101241.7	.3362378	7.229245	8.176291	8.691299	9.799723	10.36817	10.86816	11.86796	13.11197	14.39256	16.28754	17.44065	18.82128	24.57232	32.13472	71.42976	17.5189
0	1971.5	1969.5	"SO"			6301	125936.5	.2947896		10.07861	10.70691	12.10417	12.70685	13.39267	14.69273	16.11746	17.71731	20.07159	21.50505	23.41556	29.81851	39.31377	82.80654	19.98675
0	1959.5	1957.5	"SZ"			486	3966	.5245129							6.576855	7.328745	8.188039	9.658051	10.4541	11.33612	15.6617	22.39943		8.160494
0	1961.5	1959.5	"SZ"			758	6297	.4479722					6.092109	6.284966	6.738214	7.265057	7.907007	8.710227	9.264224	10.01063	14.51488	21.25989		8.307388
0	1963.5	1961.5	"SZ"			1001	10364	.4879908					6.575974	7.109827	7.588294	8.188958	8.968768	9.893859	10.47159	11.3251	16.54101	26.18074	67.30376	10.35365
1	1965.5	1963.5	"SZ"			1377	18596	.4275437				8.207487	8.49907	8.822244	9.401604	10.05467	10.82089	11.9109	12.65973	13.72075	18.79015	26.13297	71.02651	13.50472
0	1967.5	1965.5	"SZ"			1766	25133.7	.3835321				8.4505	8.876925	9.327167	10.22361	11.30615	12.61404	14.11338	15.08578	16.43374	21.1359	30.0993		14.23199
0	1969.5	1967.5	"SZ"			2397	36687.8	.4339944				7.640691	8.543177	9.329032	10.67972	12.30154	14.20669	16.29152	17.63933	19.65029	26.54153	36.78984	74.00236	15.30572
0	1971.5	1969.5	"SZ"			2065	37845.2	.4230899				10.08081	11.06739	11.87889	13.67764	15.45382	17.37839	19.65274	21.11402	22.6867	29.49909	40.15694	83.22307	18.32697
0	1959.5	1957.5	"TG"			3475	29974	.4562332					6.072649	6.27845	6.763822	7.3557	8.126748	9.236177	9.958291	10.86331	14.64523	20.57109	44.23217	8.625611
0	1961.5	1959.5	"TG"			10988	87485	.2308203			6.06372	6.33828	6.49396	6.664617	7.038815	7.346502	7.741444	8.239934	8.546097	8.936334	10.51455	12.77283	25.87878	7.961867
0	1963.5	1961.5	"TG"			11435	104474	.2400325			6.315019	7.109125	7.268256	7.442311	7.846411	8.276302	8.790067	9.401965	9.783566	10.26623	11.95603	14.39753	30.85128	9.136335
1	1965.5	1963.5	"TG"			11072	119196	.3032922				8.18358	8.430956	8.703681	9.261843	9.87476	10.5145	11.31948	11.8263	12.47381	14.63311	17.87352	42.63607	10.76553
0	1967.5	1965.5	"TG"			13520	157977.9	.2833904			7.109587	8.495384	8.897484	9.275329	10.01978	10.66459	11.55783	12.59072	13.26848	14.09388	16.66998	20.2553	40.18147	11.68476
1	1969.5	1967.5	"TG"			16518	222352	.3226426			7.350036	8.786363	9.336329	9.815619	10.74008	11.63474	12.75362	14.2429	15.13458	16.1403	19.49112	24.13244	55.67446	13.46119
0	1971.5	1969.5	"TG"			16142	265887	.3337326				11.06358	11.62499	12.27834	13.46273	14.61264	15.86749	17.63614	18.81808	20.36261	25.41274	31.62582	66.78542	16.47175
0	1959.5	1957.5	"TI"			2624	25259	.556039								7.059121	8.458677	10.47078	11.76144	13.29068	20.75758	29.16908	53.20236	9.626143
0	1961.5	1959.5	"TI"			3778	34567	.5418006							6.02393	6.766292	7.801895	9.289537	10.35082	11.95857	18.70776	28.37364	56.0826	9.14955
0	1963.5	1961.5	"TI"			3838	32242	.6005567									7.344099	8.866142	9.869513	10.98921	16.57528	26.14894	66.91776	8.400729
1	1965.5	1963.5	"TI"			5432	47963	.6791182									6.678972	9.364759	10.59458	12.28582	19.54263	31.01635	76.90546	8.829713
2	1967.5	1965.5	"TI"			6888	68407.5	.6742237									8.271564	10.06689	11.36141	13.08545	19.55222	31.00325	76.31239	9.931402
2	1969.5	1967.5	"TI"			11060	119164.7	.6729172									9.021077	11.36434	12.85965	14.83522	22.72179	36.10527	92.61874	10.77439
5	1971.5	1969.5	"TI"			14633	293575.1	.5513121						8.432947	11.31879	13.34413	15.70505	18.70125	20.67472	23.05256	34.46087	51.09581	125.7961	20.06254
0	1959.5	1957.5	"UR"			170	1456	.3699256				6.062338	6.345778	6.66345	7.316683	8.039462	8.830766	10.48481	11.27869	12.685	15.62046	20.31287		8.564706
0	1961.5	1959.5	"UR"			225	1730	.4796069						6.011718	6.610137	7.394988	8.233362	8.979836	9.802584	10.88555	13.93218	19.2199		7.688889
0	1963.5	1961.5	"UR"			241	4239	.742303							7.221037	8.674276	10.03074	11.61246	12.84724	14.96842	20.44821	29.93477		17.58921
