steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_reink	ppop0	G_reink0	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
2004	"BL"	24790	1325	121820	9670386	.331392	.0245549	.4444456	19.62118	25.79744	32.43356	41.67334	45.54004	49.0911	56.50287	64.42865	73.96048	85.67564	92.92232	101.6313	129.9718	165.5163	179.3179	198.8229						79.38258	121820
2005	"BL"	25169	1519	122684	9860339	.3361028	.0258094	.449118	19.47457	25.79392	32.39341	41.76121	45.67314	49.22285	56.73642	65.03999	74.5787	86.29861	93.6634	102.3911	131.3448	167.9253	182.264							80.37184	122684
2006	"BL"	26759	1677	122295	1.01e+07	.3395007	.0275672	.4580772	20.64338	26.6635	33.34367	42.6815	46.57712	50.34085	57.7877	66.18826	75.8718	87.7275	95.15485	103.9971	134.1386	172.5383	187.4002							82.54536	122295
2007	"BL"	26499	2016	123778	1.03e+07	.3363098	.0288201	.4533412	20.69587	26.76672	33.54708	43.0204	46.87247	50.67585	58.18184	66.69539	76.58009	88.67705	96.23849	105.1642	135.8748	175.1013	190.2167							82.81715	123778
2008	"BL"	26757	2267	123978	1.04e+07	.3364177	.0298006	.4542103	20.73185	26.8276	33.99228	43.58192	47.45821	51.29656	59.05991	67.63815	77.62305	90.08042	97.56915	106.561	138.001	177.7639	192.8221							83.93022	123978
2009	"BL"	26844	2264	125769	1.06e+07	.3349586	.0308362	.4519366	20.74496	27.02943	34.27028	43.9831	47.89133	51.76193	59.6902	68.36032	78.52501	91.28661	99.04081	108.268	139.9887	179.9345	195.1159							84.62524	125769
2010	"BL"	27179	2326	126031	1.08e+07	.3403376	.0312055	.4573597	20.68888	26.79778	33.77027	43.79563	47.75512	51.70134	59.64939	68.50484	78.82462	91.52678	99.46544	108.8277	141.05	181.0401	196.1337							85.3337	126031
1987.5	"BS"			93325	4576595	.3547424	.0111439	.3547424	10.85985	15.13993	18.2261	23.66127	26.19976	28.62299	33.6706	39.07425	45.14005	52.23917	56.74609	62.21902	80.75144	104.418	113.815	128.2478	153.2283					49.03932	93325
1989.5	"BS"			90397	4669929	.3482445	.0125115	.3482445	11.44077	16.27982	20.05603	25.62434	28.08124	30.79093	35.96326	41.28098	47.38333	54.87363	59.68532	65.47588	84.7545	109.9217	119.8246	135.5013	161.7837					51.66022	90397
1991.5	"BS"			92286	5184265	.3543338	.0149318	.3543338	13.19903	17.38434	21.15649	27.53808	30.51877	33.13528	38.69593	44.4544	51.08868	59.19064	64.42286	70.64501	91.66761	118.8368	129.8869	145.549	174.7167					56.17607	92286
1993.5	"BS"			92907	5837346	.3474275	.0175444	.3474275	15.77662	19.41212	24.0435	31.30248	34.57895	37.6576	43.93068	50.52562	57.88808	67.16329	72.81094	79.85077	102.8902	131.4315	142.8045	160.0922	189.349					62.82999	92907
1995.5	"BS"	17917	750	90740	5931223	.3587044	.0165935	.4644509	15.65874	18.679	23.13706	31.34581	35.12323	38.4051	45.40349	52.21931	60.13794	69.8476	76.15466	83.58264	108.0307	138.282	149.8317	168.7484	199.3646					65.36503	90740
1996	"BS"	21042	517	92597	6323290	.3423598	.0172124	.4641319	17.14194	21.93848	25.95924	34.60931	38.00423	41.41818	48.18848	55.43612	63.12379	72.75057	78.89001	86.46692	110.6747	142.2119	154.8963	173.7608						68.28828	92597
1997	"BS"	22580	423	93694	6354856	.3420511	.0165815	.4698225	17.12576	21.94423	25.95322	34.37305	37.75394	41.16537	47.85749	55.03572	62.57892	72.07264	78.08161	85.58039	110.2588	141.5931	154.0316	172.4272						67.82564	93694
1997.5	"BS"			0	0																										0
1998	"BS"	20707	546	90359	6289640	.3507574	.0183134	.4718013	17.14908	22.00089	26.10472	34.74927	38.06078	41.4744	48.22161	55.49705	63.31359	73.29978	79.72529	87.74335	114.7802	148.7815	161.6747	179.7893						69.60723	90359
1999	"BS"	22625	583	91418	6345956	.3528049	.0178441	.481202	16.9585	21.82016	25.8256	34.66214	37.96323	41.33749	48.02557	55.29494	62.98662	72.71602	79.0293	86.8895	112.9218	145.9527	159.0926	177.9613						69.41692	91418
2000	"BS"	21498	617	88964	6345514	.3609736	.0201336	.4853402	16.992	21.91936	26.07123	35.15123	38.40895	41.8625	48.7814	56.09826	63.93113	73.80039	80.34153	88.38956	115.128	150.0112	164.5364	185.3572						71.32676	88964
2001	"BS"	24295	1488	88697	6394661	.3547492	.0194704	.4934879	17.85618	22.31976	26.7644	35.97473	39.46544	42.89575	50.08516	57.22794	65.32678	75.17515	81.5474	89.33271	115.9061	151.5653	165.5252	185.4366						72.09557	88697
2002	"BS"	25587	1792	86976	6248435	.3496906	.0187184	.4975142	17.94157	22.45691	27.10217	36.33759	40.03753	43.23226	50.23083	57.37611	65.38734	75.20776	81.40099	89.28171	115.8827	151.0376	164.653	184.0331						71.8409	86976
2003	"BS"	27012	1805	85892	6188389	.3494176	.018839	.5050678	17.99719	22.83175	27.47281	36.40302	40.10436	43.32723	50.29406	57.51413	65.55115	75.39271	81.68513	89.72623	117.1892	152.4021	166.1148	185.6298						72.04849	85892
2004	"BS"	26953	2808	85450	6317702	.3634254	.0198838	.516069	18.03843	22.8093	27.45314	36.3691	40.11283	43.35358	50.37745	57.69311	65.89422	75.81319	82.29056	90.35781	118.0782	154.5926	168.9001	189.3167						73.93448	85450
2005	"BS"	27445	2793	84391	6288857	.3668023	.0207357	.5221916	18.24905	22.91621	27.45848	36.37984	40.16776	43.38343	50.3886	57.80624	66.09956	76.19588	82.62452	91.06182	119.4189	156.8249	171.6743	192.912						74.52046	84391
2006	"BS"	29014	2961	82695	6359270	.3731125	.0216903	.535933	20.16806	23.75125	28.22531	37.21338	40.99815	44.36262	51.29496	58.71386	66.93164	77.37591	84.0768	92.63004	121.8614	160.7957	176.0955	197.988						76.9003	82695
