anz_pflichtige	steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
268	1969.5	"CH"			1783952	3.46e+07	.3731388		8.126659	8.745476	10.09848	10.64242	11.29738	12.55436	14.06819	15.75837	18.21012	19.76419	21.85316	30.0631	42.41895	106.6112	19.38584
399	1971.5	"CH"			1817683	4.22e+07	.364826		10.15454	10.84158	12.31158	13.04873	13.66995	15.20769	16.82566	18.89618	21.72044	23.60592	26.11157	35.63418	50.26704	125.6307	23.20907
588	1973.5	"CH"			2032655	5.30e+07	.3763891		10.35307	11.42979	13.38757	14.30549	15.20529	17.01791	18.88683	21.33012	24.48336	26.61337	29.36098	40.36994	57.02872	142.8786	26.06714
644	1975.5	"CH"			2284951	6.84e+07	.3689488		10.75099	12.35612	15.24258	16.52894	17.77931	20.26721	22.77851	25.79186	29.58343	32.10591	35.37675	47.27784	64.36105	150.8113	29.91718
513	1977.5	"CH"			2417384	7.65e+07	.363126		10.68697	12.43095	15.70294	17.34114	18.85151	21.85915	25.00926	28.30127	32.70522	35.58752	39.00648	51.6195	68.34688	147.4354	31.63978
532	1979.5	"CH"			2538815	8.33e+07	.3648677		10.77759	12.62329	16.18897	17.8258	19.50677	22.66096	25.88698	29.60253	34.2604	37.23153	40.98693	54.04914	71.47098	151.1201	32.8073
633	1981.5	"CH"			2662298	9.27e+07	.3722582		10.68374	12.75382	16.69877	18.61202	20.47646	24.06033	27.40862	31.56791	36.71698	40.05056	43.95955	58.15516	76.80809	160.4623	34.81658
788	1983.5	"CH"			2787078	1.03e+08	.3766207		11.32993	13.40705	17.57811	19.58396	21.52831	25.30428	28.95068	33.25864	38.68623	42.16405	46.52651	61.94967	82.26667	172.4589	36.99725
936	1985.5	"CH"			2901058	1.15e+08	.3788968		12.08573	14.24015	18.57321	20.67133	22.74021	26.66016	30.95872	35.71264	41.60069	45.43712	50.17605	66.8087	88.47428	184.144	39.62337
28687	1987.5	"CH"			3102803	1.28e+08	.3794204		11.26058	14.64989	19.40314	21.54036	23.71131	27.87726	32.20008	37.05317	43.07893	46.94164	51.75349	68.67874	91.18972	192.4844	41.41114
35763	1989.5	"CH"			3107909	1.44e+08	.3745958		12.04388	16.64998	22.36244	25.01413	26.99859	31.49691	36.17337	41.52837	48.23642	52.51459	57.84262	76.47861	101.3006		46.17918
43870	1991.5	"CH"			3222711	1.63e+08	.3758072		13.38306	18.05612	24.61329	27.09567	29.75591	34.56161	39.60563	45.54698	52.84806	57.54199	63.37356	83.66264	110.6677		50.60645
50603	1993.5	"CH"			3268548	1.82e+08	.3695064		15.71616	20.17682	27.24886	30.42324	33.08154	38.62704	44.36251	50.98277	59.19507	64.40317	70.95501	93.1267	121.4184		55.78638
0	1961.5	"FR"			18276	196115	.2870682		6.114214	6.295123	6.707972	6.945562	7.186914	7.742881	8.442324	9.363683	10.64052	11.48071	12.56384	16.53942	21.89093	44.1539	10.73074
1	1963.5	"FR"			20916	259715	.3123346		6.410369	7.040014	7.480063	7.732744	8.011764	8.642885	9.43575	10.46477	11.98722	12.96265	14.34292	19.26889	26.30519	53.9195	12.41705
1	1965.5	"FR"			21294	305428	.3294008		7.349	8.0531	8.553337	8.840497	9.141647	9.811432	10.69727	11.86768	13.53806	14.72172	16.29338	22.13518	31.36985	73.44734	14.34338
0	1967.5	"FR"			30916	459537.6	.3199119		7.501521	8.16434	8.759375	9.168262	9.482909	10.3218	11.33776	12.59456	14.40122	15.5955	17.30006	23.33594	31.94755	68.83044	14.86407
0	1969.5	"FR"			37576	602514	.318155		8.023965	8.392472	9.274762	9.665071	10.17908	11.17603	12.27796	13.68349	15.69946	17.14167	18.82765	25.49154	34.29908	72.64652	16.03454
0	1971.5	"FR"			38056	742146.9	.3085642	6.497596	10.08641	10.49039	11.4411	11.89622	12.44635	13.55508	14.84582	16.58486	19.04698	20.55589	22.57524	30.34946	40.96032	86.97752	19.50144
7	1973.5	"FR"			47312	1037189	.3206348	9.295826	10.33853	11.10146	12.41976	13.12998	13.70683	15.12919	16.61573	18.5238	21.20934	23.00594	25.2632	33.9403	45.83895	99.03074	21.92233
8	1975.5	"FR"			55975	1423580	.3157944	9.84735	10.89175	12.09661	14.25574	15.26972	16.26268	18.20092	20.20825	22.55425	25.69965	27.67893	30.38469	39.49737	51.68879	106.3774	25.43242
